Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Farf	A	0101	Vrialmanj	E573533-7		Ni		804	ZhIN	K0 V	{ -3 }	(741-5)	[2224]		9	14
Farf	A	0105	Jdinz	B4278A8-9		Ph Pi		420	ZhIN	M3 III M1 V	{ 1 }	(C7A+1)	[8959]		12	840
Farf	A	0108	Chtanshar	A95A451-E		Ni Wa		301	ZhIN	F1 V	{ 1 }	(734-3)	[151A]		7	59
Farf	A	0109	Ishashiel	C774410-8	M	Ni Pa		403	ZhIN	K1 V	{ -2 }	(931-5)	[1213]		10	14
Farf	A	0110	Tsief	C200578-A		Ni Va		902	ZhIN	M0 V	{ 0 }	(944+1)	[555A]		11	144
Farf	E	0111	Zhiafefezh	C200336-B		Lo Va		824	ZhIN	G4 IV	{ 0 }	(B21-1)	[234A]		15	20
Farf	E	0115	BLIEPLITL	B6639A7-A		Hi Pr		104	ZhIN	M0 V	{ 3 }	(F8D+3)	[9C5A]		8	4,680
Farf	E	0116	Zhans	C564336-8	M	Lo Da	A	424	ZhIN	G6 V	{ -2 }	(B21-3)	[2147]		15	15
Farf	E	0117	Ievrchipr	C431575-8	M	Ni Po		804	ZhIN	M1 V	{ -2 }	(B42-4)	[3336]		11	53
Farf	E	0119	Kitl	E000353-9		As Lo Va Da	A	302	ZhIN	M1 V	{ -2 }	(721-5)	[1126]		12	7
Farf	I	0123	Acropolis	A887556-9	KV	Ag Ni Ga Pr		101	SaCo	G6 V	{ 1 }	(845+1)	[4648]		11	160
Farf	I	0124	Belekz	A553413-A		Ni Po		100	SaCo	F8 V	{ 1 }	(634-2)	[1527]		9	58
Farf	I	0125	DRAWMIJ	E569955-7		Hi Pr		101	SaCo	G9 V	{ -1 }	(B88-3)	[7835]		9	493
Farf	I	0128	Salinaikin	A000347-E	K	As Lo Va Cx		101	SaCo	M7 III	{ 1 }	(621+1)	[345E]		7	12
Farf	M	0134	Echocha	C543457-9		Ni Po		504	NaHu	G6 V	{ -1 }	(A32-1)	[4359]		17	54
Farf	M	0138	Follette	D5525A9-7		Ni Po		500	NaHu	F5 V	{ -3 }	(741-2)	[6268]		8	22
